town,county,acs_population,primary_action,secondary_signals,decision_note,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,climate_asset_sample_count,bridge_sample_count,culvert_sample_count,slr_site_sample_count,flood_site_sample_count
Houlton,Aroostook,6056.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,51.6,58.3,51.0,50.39,33.27,32.44,54.74,18.13,7.09,24.37,20.27,18.03,2.35,2.49,0.73,0.0,0.0,0.0,0.0,0.0
Brewer,Penobscot,9652.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,51.5,58.18,46.92,49.75,34.21,37.57,55.7,12.5,10.73,22.41,19.13,20.93,1.43,7.74,0.09,1.0,0.0,0.0,0.0,1.0
Skowhegan,Somerset,8653.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",51.32,62.11,52.49,42.5,42.07,40.23,58.46,14.17,11.98,25.39,21.33,19.62,2.7,16.18,0.44,0.0,0.0,0.0,0.0,0.0
Alton,Penobscot,819.0,Affordability and parcel screen,high housing need,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",51.21,60.4,53.43,47.53,36.25,29.25,76.32,24.31,6.53,21.73,16.48,18.07,1.63,4.47,2.56,0.0,0.0,0.0,0.0,0.0
Patten,Penobscot,1154.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",51.19,63.62,66.79,40.75,49.89,30.9,56.0,23.23,6.32,38.47,30.05,11.27,8.63,18.09,0.56,0.0,0.0,0.0,0.0,0.0
West Paris,Oxford,1808.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,51.14,74.95,61.55,35.99,55.93,40.0,61.47,24.09,10.98,25.22,21.08,14.27,15.91,23.19,0.45,0.0,0.0,0.0,0.0,0.0
Saco,York,20819.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,50.97,53.19,32.27,58.81,29.2,37.47,50.31,6.39,5.43,18.5,12.34,16.73,4.25,7.06,1.08,1.0,0.0,0.0,0.0,1.0
Scarborough,Cumberland,23215.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,50.86,50.58,28.85,65.24,26.64,35.42,51.88,4.39,1.67,24.73,10.8,16.64,7.69,4.55,0.0,0.0,0.0,0.0,0.0,0.0
Sanford,York,22247.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,50.58,52.67,42.3,49.14,38.0,35.3,45.47,10.29,5.93,20.77,21.56,19.33,2.41,19.18,0.49,0.0,0.0,0.0,0.0,0.0
Passamaquoddy Indian Township Reservation,Washington,759.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,50.49,50.62,67.55,47.69,36.14,18.35,25.84,38.57,21.36,15.15,34.91,33.07,1.51,2.62,0.0,0.0,0.0,0.0,0.0,0.0
Eastport,Washington,1263.0,Hazard overlay before growth,high housing need; infrastructure capacity gap; hazard-overlay first,Sample climate assets are present; run FEMA/MGS/wetlands/conservation/DEM overlays before growth claims.,50.25,67.78,64.94,42.73,48.89,39.01,44.93,15.24,13.42,42.36,28.17,14.17,19.44,9.87,0.0,5.0,0.0,0.0,5.0,0.0
Guilford,Piscataquis,1096.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",50.15,68.79,59.18,38.08,48.69,45.35,66.98,14.87,11.17,30.47,27.25,15.6,11.42,16.9,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Oxford,2782.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",50.1,64.15,56.35,38.11,45.15,34.97,62.84,19.73,13.2,20.35,22.61,19.77,4.22,18.17,0.0,0.0,0.0,0.0,0.0,0.0
Cherryfield,Washington,809.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,50.09,71.82,68.72,31.99,58.47,32.9,60.47,26.33,12.26,32.39,27.69,11.62,15.82,24.91,0.72,0.0,0.0,0.0,0.0,0.0
Calais,Washington,3097.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; hazard-overlay first,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",49.92,62.68,56.34,42.84,41.73,31.97,53.7,21.39,5.7,24.09,25.02,16.44,8.62,8.73,1.62,4.0,0.0,0.0,1.0,3.0
Paris,Oxford,5317.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; sample asset review,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",49.77,67.25,50.51,43.8,45.38,42.81,62.31,12.45,12.23,24.56,19.97,15.82,14.06,14.18,1.18,2.0,0.0,0.0,0.0,2.0
Allagash,Aroostook,224.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,49.72,90.09,72.25,21.61,72.52,54.76,77.27,25.45,12.68,48.66,16.96,6.25,34.46,31.25,0.0,0.0,0.0,0.0,0.0,0.0
Orient,Aroostook,137.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; sample asset review,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,49.57,70.09,68.99,47.5,51.74,24.07,100.0,35.77,1.59,45.99,30.66,16.79,74.91,0.0,4.76,1.0,0.0,1.0,0.0,0.0
Sherman,Aroostook,947.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",49.46,67.15,54.77,40.89,47.13,29.43,46.67,37.49,13.55,21.22,10.98,33.37,11.85,15.27,2.26,0.0,0.0,0.0,0.0,0.0
Passamaquoddy Pleasant Point Reservation,Washington,552.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,49.26,49.65,62.79,46.38,34.96,22.44,18.75,35.51,21.62,12.86,23.73,29.89,0.0,1.93,3.15,1.0,0.0,0.0,0.0,1.0
Albion,Kennebec,2204.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",49.24,59.93,53.03,42.16,41.34,38.19,46.15,18.39,5.12,26.81,22.01,12.52,3.63,15.36,0.0,0.0,0.0,0.0,0.0,0.0
Poland,Androscoggin,5954.0,Affordability and parcel screen,high housing need,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",49.2,69.0,42.39,45.53,43.18,46.53,61.56,16.64,1.09,17.75,14.48,21.38,15.33,14.39,0.0,0.0,0.0,0.0,0.0,0.0
Farmington,Franklin,8157.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",49.16,56.46,52.17,43.06,42.28,28.01,44.21,15.42,18.36,20.74,19.73,10.59,3.78,19.14,0.0,0.0,0.0,0.0,0.0,0.0
Bath,Sagadahoc,8815.0,Monitor and screen after hazard layers,hazard-overlay first,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,49.14,57.58,42.05,46.76,36.97,38.23,51.26,12.37,7.29,25.23,12.62,15.5,2.65,15.41,0.0,3.0,0.0,0.0,3.0,0.0
Winn,Penobscot,287.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,48.97,69.19,65.65,24.17,58.34,45.27,100.0,21.95,5.56,30.31,31.36,12.2,4.95,49.57,1.23,0.0,0.0,0.0,0.0,0.0
Old Orchard Beach,York,9244.0,Affordability and parcel screen,high housing need; sample asset review,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",48.93,65.53,48.88,48.77,42.06,35.59,50.71,14.92,3.57,33.51,18.76,6.49,22.54,5.96,0.13,1.0,0.0,0.0,1.0,0.0
Dennysville,Washington,218.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",48.83,66.8,59.5,34.64,49.21,32.63,75.0,30.28,7.08,31.19,17.43,12.39,9.72,17.33,2.65,0.0,0.0,0.0,0.0,0.0
Wales,Androscoggin,1924.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",48.57,62.4,45.53,44.64,39.75,30.68,83.33,25.28,1.81,10.97,14.86,30.2,6.96,13.87,0.0,0.0,0.0,0.0,0.0,0.0
Kittery,York,10473.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,48.56,49.83,42.22,54.46,31.49,36.06,38.83,6.36,12.07,26.9,17.74,14.73,4.41,7.77,0.0,2.0,0.0,0.0,2.0,0.0
Newport,Penobscot,3143.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,48.56,56.84,52.72,45.74,38.23,33.74,44.33,12.57,13.91,24.85,24.63,14.7,6.71,8.56,1.14,0.0,0.0,0.0,0.0,0.0
St. John,Aroostook,180.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",48.43,67.97,57.99,38.46,47.89,43.53,75.0,11.67,12.9,38.89,23.33,8.89,16.31,12.9,1.08,0.0,0.0,0.0,0.0,0.0
Boothbay Harbor,Lincoln,2096.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,48.38,73.17,59.66,44.29,50.51,39.0,79.34,16.14,4.27,47.04,23.3,11.55,44.45,4.79,1.21,0.0,0.0,0.0,0.0,0.0
Bucksport,Hancock,5016.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,48.26,53.02,42.95,49.17,30.47,39.23,48.95,6.71,9.77,26.57,19.48,17.86,0.59,5.5,0.72,0.0,0.0,0.0,0.0,0.0
Pittsfield,Somerset,3930.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,48.17,57.28,41.37,46.22,33.07,34.24,50.53,15.54,8.26,15.22,12.92,22.49,1.59,8.81,0.61,0.0,0.0,0.0,0.0,0.0
Fort Fairfield,Aroostook,3309.0,Affordability and parcel screen,high housing need; sample asset review,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",48.15,61.13,47.91,47.67,36.94,38.89,73.58,10.28,8.42,30.86,20.76,13.48,13.26,4.35,0.0,1.0,1.0,0.0,0.0,0.0
Howland,Penobscot,1367.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",48.05,59.43,62.53,34.95,47.04,37.44,29.0,25.21,6.47,22.82,27.87,22.02,5.96,18.36,1.04,0.0,0.0,0.0,0.0,0.0
Winslow,Kennebec,8023.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,48.04,54.58,41.03,47.58,33.56,36.46,56.71,10.81,5.75,21.76,17.96,17.31,2.61,11.11,0.0,1.0,0.0,0.0,0.0,1.0
Farmingdale,Kennebec,3017.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,48.02,58.69,41.11,46.89,36.28,39.81,58.63,13.77,4.31,22.77,12.8,21.31,4.1,13.37,0.0,0.0,0.0,0.0,0.0,0.0
Wilton,Franklin,3862.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",47.96,61.41,52.23,40.06,44.47,38.57,52.48,14.55,5.5,26.95,25.92,22.24,9.21,16.92,1.12,0.0,0.0,0.0,0.0,0.0
Crawford,Washington,97.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,47.89,69.61,73.08,39.48,59.15,22.0,100.0,27.84,3.51,50.52,46.39,14.43,46.76,11.11,5.26,0.0,0.0,0.0,0.0,0.0
Bowdoinham,Sagadahoc,3142.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,47.82,58.17,34.95,49.48,32.55,43.27,100.0,13.46,0.0,21.39,7.13,17.5,2.7,11.13,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Oxford,5228.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; sample asset review; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,47.76,65.95,57.33,38.02,50.95,29.55,48.74,20.94,7.72,27.1,25.02,17.5,18.89,19.36,0.0,2.0,0.0,0.0,0.0,2.0
Eliot,York,7146.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,47.75,54.05,35.72,51.86,30.54,45.7,55.07,4.8,1.81,27.76,15.74,16.26,3.44,8.04,0.49,1.0,0.0,0.0,1.0,0.0
Mattawamkeag,Penobscot,698.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,47.7,63.43,67.94,27.0,56.41,28.21,42.67,33.24,15.15,20.06,35.53,17.48,7.4,30.22,0.61,0.0,0.0,0.0,0.0,0.0
Unity,Waldo,1858.0,Affordability and parcel screen,high housing need; sample asset review,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",47.54,63.88,45.37,45.87,38.69,34.93,44.76,17.3,11.15,11.84,16.09,13.99,14.62,7.06,0.0,2.0,0.0,0.0,0.0,2.0
Brighton,Somerset,98.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,47.52,85.01,63.16,25.82,69.46,71.43,100.0,37.76,0.0,24.49,30.61,9.18,62.35,35.29,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Kennebec,2770.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,47.47,53.77,43.08,47.64,30.5,37.28,65.67,9.96,6.26,20.97,22.31,19.89,1.62,4.79,0.44,0.0,0.0,0.0,0.0,0.0
Limestone,Aroostook,1579.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,47.42,49.99,54.85,45.98,35.07,29.83,32.03,16.37,12.37,21.72,27.13,20.71,2.49,7.56,0.43,0.0,0.0,0.0,0.0,0.0
Yarmouth,Cumberland,9053.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,47.4,52.33,33.76,52.58,30.44,35.26,50.96,10.23,2.25,20.24,11.53,24.74,3.19,10.05,0.37,0.0,0.0,0.0,0.0,0.0
Livermore Falls,Androscoggin,3102.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,47.38,62.84,55.54,28.94,51.7,32.19,47.67,28.96,7.67,18.21,20.36,21.92,2.59,32.3,0.0,0.0,0.0,0.0,0.0,0.0
Norridgewock,Somerset,3288.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,47.38,54.35,47.3,47.67,35.58,23.46,53.41,20.87,1.15,24.97,18.43,10.52,6.39,9.14,0.0,0.0,0.0,0.0,0.0,0.0
Lincoln,Penobscot,4890.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",47.32,63.94,56.54,35.39,49.62,34.23,61.32,16.51,8.86,32.09,24.61,11.39,13.99,20.27,0.89,0.0,0.0,0.0,0.0,0.0
Thomaston,Knox,2769.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,47.21,52.89,42.63,48.5,28.9,42.61,60.54,6.61,2.18,35.5,19.99,19.18,2.13,2.59,0.0,0.0,0.0,0.0,0.0,0.0
Hallowell,Kennebec,2592.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,47.11,51.91,43.94,49.69,31.34,42.2,37.05,7.81,9.54,33.18,14.03,13.23,3.37,5.31,0.93,1.0,0.0,0.0,0.0,1.0
Veazie,Penobscot,1847.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,46.96,55.54,39.32,48.1,30.92,39.89,55.29,7.46,10.07,21.39,15.48,18.73,3.28,6.42,0.0,0.0,0.0,0.0,0.0,0.0
Ellsworth,Hancock,8657.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.93,66.58,42.21,40.64,45.22,43.01,62.14,9.26,12.2,22.1,13.64,18.44,17.47,18.19,0.0,0.0,0.0,0.0,0.0,0.0
Carmel,Penobscot,2941.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,46.91,52.5,40.96,47.37,30.52,31.8,56.43,13.6,5.41,16.49,18.29,18.63,0.37,7.21,0.63,0.0,0.0,0.0,0.0,0.0
